Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_330:0000223,PlGwht_Et_1to6,"HABIT, PGH",Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000224,Flwdgr_Et_0to7,FLOWERING,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000225,CorSh_Et_1to9,CORSHAP,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000226,FlwNIn_Et_0to7,NIPP,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000227,FlwNum_Et_1to9,NFWP,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000228,FlrAnP_Et_1to9,ANTPIG,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000229,FlrPPg_Et_0to8,PISP,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000230,FrtShp_Et_1to7,FRUTSHP,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000231,FrtCol_Et_1to7,FRUIT,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000232,Pedcol_Et_1to8,PEDPIG,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000233,Calcol_Et_1to7,CALPIG,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000234,SedPro_Et_0to5,SPBE,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000235,FlrShp_Et_1to5,STSHAPE,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000236,LefShp_Et_1to3,LEATY,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000237,LaLfN_Et_0to8,NPLL,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000238,AdLfC_Et_1to9,CADSL,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000239,AbLfC_Et_1to9,CABSL,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000240,AdLfTd_Et_0to3,TDLAS,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000241,AbLfTd_Et_0to3,TDLAS2,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000242,ApLfSz_Et_1to7,APLSI,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000243,ApLfSh_Et_1to7,APLSH,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000244,LaLfSh_Et_1to7,LALESH,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000245,BShTLf_Et_1to7,BSHTL,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000246,AShTLf_Et_1to9,ASHTL,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000247,MStPg_Et_1to7,STMPG,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000248,StWgSh_Et_0to3,STMWNG,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000249,PSknCol_Et_1to9,TBSKN1,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000250,SknCPI_Et_1to3,TBSKN2,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000251,SknCSc_Et_0to9,TBSKN3,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000252,SknCScD_Et_0to7,TBSKN4,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000253,PFlshCol_Et_1to8,TBFSH1,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000254,FlsCSc_Et_0to8,TBFSH2,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000255,FlsCSD_Et_0to7,TBFSH3,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000256,RtShp_Et_1to8,TBSHP1,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000257,RtShp_Et_0to9,TBSHP2,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000258,DpEyTb_Et_1to9,TBSHP3,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000259,PSpCol_Et_1to5,SPROUT1,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000260,SpScCol_Et_0to5,SPROUT2,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000261,SpCSD_Et_0to7,SPROUT3,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
CO_330:0000262,Pldy 5_Et_1to5,PLOIDY,Characterizing stocks,,Recommended,,CIP,Curator,2016-04-04 00:00:00,EN,Potato
